Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","The body of the blinky board",1,7.00,"","JLCPCB"
"9V Battery Clip Connecto Pack","a power source ",1,3.14,"https://www.temu.com/dz-en/10pcs-9v-battery-clip-connector-t-type-pu-leather-long-cable-housing-connection-g-601100264846993.html?_oak_mp_inf=EJHtiv6o1ogBGiA0MmQyZDc5ZmE2Nzc0YTMxYTQzY2VlNmIwNjkyY2MwMyDDs57AzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Ff666e408-03ce-4e4a-bef6-06f5cf0edbbe.jpg&spec_gallery_id=89445&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTkx&_oak_gallery_order=185502023%2C1948578082%2C1200895681%2C1721406620%2C1490960736&search_key=9V%20Battery%20Holder%20Clip&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=search_result&refer_page_id=10009_1773687773809_j2lvlnbe88","Temu"
"Push button pack ","Control the circuit electric flow",1,1.78,"https://www.temu.com/dz-en/1--20-50pcs-20mm-mini-toggle-switch--2--off---housing-with-copper-contacts-for-automotive-rv-industrial-room-electrical-wiring-panel-mount-quick-connect--operating-voltage-g-601102119558452.html?_oak_mp_inf=ELS6vfKv1ogBGiBhNzI0NjI1ZTQyYmU0M2NmOGNkMTQ5MGI2MDk2NmVlNyD8y5jAzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Ff490b6d1-032d-4fd2-bab6-b069af3605fb.jpg&spec_gallery_id=316531&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTg3&_oak_gallery_order=206333403%2C509327563%2C1737967140%2C766330173%2C181758829&search_key=1%20Push%20Button&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=search_result&refer_page_id=10009_1773687678309_dskfo5pdcl","Temu"
"330 ohm resistor Pack","controls how fast the LEDs blink",1,1.37,"https://www.temu.com/dz-en/50pcs-1-4w-metal-film-resistors-1k-10k-1m--1-tolerance-compact--electronic-components-for-circuit-design-suitable-for-electronics-enthusiasts-g-601105328033473.html?_oak_mp_inf=EMGds%2By71ogBGiA2ZjJhNDQ4MDBhOGU0N2YwOTYwNWU5MjZjNTAxZTE1NiD0tIjAzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F9dc79641-e2d8-4da4-b375-792a8ee23ad2.jpg&spec_gallery_id=28664786447&refer_page_sn=10032&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTM3&_oak_gallery_order=1892646967%2C1777261024%2C1441810208%2C2061634004%2C380053182&search_key=100k%20Variable%20Resistor&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=goods&refer_page_id=10032_1773687565025_m81hws24cd&is_back=1&no_cache_id=orpac","Temu"
"100k Variable Resistor Pack","controls how fast the LEDs blink",1,1.37,"https://www.temu.com/dz-en/50pcs-1-4w-metal-film-resistors-1k-10k-1m--1-tolerance-compact--electronic-components-for-circuit-design-suitable-for-electronics-enthusiasts-g-601105328033473.html?_oak_mp_inf=EMGds%2By71ogBGiA2ZjJhNDQ4MDBhOGU0N2YwOTYwNWU5MjZjNTAxZTE1NiD0tIjAzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F9dc79641-e2d8-4da4-b375-792a8ee23ad2.jpg&spec_gallery_id=28664786447&refer_page_sn=10032&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTM3&_oak_gallery_order=1892646967%2C1777261024%2C1441810208%2C2061634004%2C380053182&search_key=100k%20Variable%20Resistor&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=goods&refer_page_id=10032_1773687565025_m81hws24cd&is_back=1&no_cache_id=orpac","Temu"
"10k Resistor Pack","controls how fast the LEDs blink",1,1.37,"https://www.temu.com/dz-en/50pcs-1-4w-metal-film-resistors-1k-10k-1m--1-tolerance-compact--electronic-components-for-circuit-design-suitable-for-electronics-enthusiasts-g-601105328033473.html?_oak_mp_inf=EMGds%2By71ogBGiA2ZjJhNDQ4MDBhOGU0N2YwOTYwNWU5MjZjNTAxZTE1NiD0tIjAzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F9dc79641-e2d8-4da4-b375-792a8ee23ad2.jpg&spec_gallery_id=28664786447&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTM3&_oak_gallery_order=1892646967%2C1777261024%2C1441810208%2C2061634004%2C380053182&search_key=100k%20Variable%20Resistor&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=search_result&refer_page_id=10009_1773687413534_dgdecuttr6","Temu"
"10 μF Capacitor Pack","controls how fast the LEDs blink",1,2.34,"https://www.temu.com/dz-en/450v10uf-electrolytic-capacitor-10uf450v-volume-10x17mm-10pcs-g-601102891783789.html?_oak_mp_inf=EO2s2uKy1ogBGiAxOGFkMDcwMGUxMDk0ODMwODVjYzMwZmUzYzY4MzcyNiC%2BtYDAzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fa5f60555-b6cc-4f16-8b75-5461c893fee2.jpg&spec_gallery_id=601102891783789&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjM0&_oak_gallery_order=560874099%2C1730956605%2C198735858%2C1576415208%2C206848623&search_key=10%20%CE%BCF%20Capacitor&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=search_result&refer_page_id=10009_1773687282662_jsvozzlnx3","Temu"
"555 Timer IC Pack","to make the LEDs blink on and off repeatedly",1,2.33,"https://www.temu.com/dz-en/20pcs-ne555-ne555p-integrated-ic-direct-plug-dip-8p-base-circuit-chip-electronic-components-g-601100205387556.html?_oak_mp_inf=EKTe3eGo1ogBGiAyMjU5NWRmYjJmOGQ0NDJjYTc1YmUwNGI5ZDRkMmFhMyDb5fu%2FzzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F306d19dbb1a046178806a65f011b4838-goods.jpeg&spec_gallery_id=116692&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjMz&_oak_gallery_order=1870007133%2C1626722211%2C1194395509%2C632792232%2C601768563&search_key=555%20Timer%20IC&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1773687124359_96nn8p0au5&_x_sessn_id=zp10wwa8ib","Temu"
"Red LED Pack","A light source",1,1.84,"https://www.temu.com/dz-en/a-set-of-120-3mm-led--with-diffused-round-lenses--3v-20ma-bulbs-in--colors-electronic-components-and-led-parts-g-601103632870167.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Ff1b2c00f-e762-4943-8e8c-fbd71da66284.jpg&sku_id=17610798205079&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTYw&_oak_gallery_order=74863725%2C683298110%2C1367969238%2C1236005783%2C1309135908&search_key=red%20led&refer_page_el_sn=200049&_x_sessn_id=zp10wwa8ib&refer_page_name=search_result&refer_page_id=10009_1773687082845_hevems1kdb&is_back=1&no_cache_id=7hn02","Temu"
